vertical,typical_touchpoints,paid_position_range,sales_cycle_days,recommended_model,linear_paid_credit_pct,u_shaped_paid_credit_pct,time_decay_paid_credit_pct,notes
saas_self_serve,3,1-2,7,first_click_or_linear,33,40,46,"Short journey; paid often the entry point"
saas_plg_short,4,2-3,21,linear_or_time_decay,25,7,28,"Product-led growth; paid in mid-funnel"
saas_mid_market,7,2-4,45,u_shaped_or_data_driven,14,4,18,"Mid-market; sales-assisted"
saas_enterprise,10,3-5,120,u_shaped_or_data_driven,10,3,12,"Enterprise; long pipeline"
enterprise_services,12,4-7,180,u_shaped,8,2,8,"Multi-stakeholder buying committee"
fintech_b2b,6,2-4,45,time_decay,17,5,22,"Compressed cycle; bottom-funnel dominant"
marketplace_seller,5,2-4,30,linear,20,7,25,"Multi-touch but condensed timeframe"
manufacturing_industrial,8,3-6,90,u_shaped,12,3,14,"Trade-show and direct-mail influence"
healthcare_b2b,9,3-5,75,u_shaped,11,3,15,"Regulated buying processes; compliance gating"
legal_b2b,7,2-4,60,time_decay_or_u_shaped,14,5,20,"Referral-heavy; paid as supplement"
agency_services,5,1-3,28,linear_or_first_click,20,40,28,"Referral + paid as confirmation"
hr_tech,8,3-5,60,u_shaped,12,3,17,"HR buying committee; demo-driven"
